               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.092705,             0.15973,            0.023829,             0.46552,             0.36224,             0.35844,             0.19847,            0.090581,             0.22775,            0.029205,           0.0097011,           0.0097011,           0.0097011
                  37,            0.093072,              0.1611,            0.023922,             0.44444,             0.37432,             0.35614,             0.19934,             0.09045,             0.22822,            0.029343,            0.009684,            0.009684,            0.009684
                  38,            0.093034,             0.16143,            0.023574,             0.46618,             0.36246,             0.35598,             0.19888,            0.090467,             0.22795,            0.029168,           0.0096664,           0.0096664,           0.0096664
                  39,             0.09263,             0.15968,            0.023571,             0.45664,             0.37327,             0.36096,             0.20223,            0.090491,             0.22805,            0.029132,           0.0096484,           0.0096484,           0.0096484
                  40,             0.09275,             0.16077,            0.023533,             0.47353,             0.36692,              0.3631,             0.20002,            0.090352,             0.22904,            0.029197,           0.0096299,           0.0096299,           0.0096299
                  41,            0.092576,             0.16079,            0.023565,             0.46551,             0.37452,             0.36631,             0.20394,            0.090381,             0.22739,            0.029096,            0.009611,            0.009611,            0.009611
                  42,            0.092482,             0.16072,              0.0235,             0.46948,             0.36527,             0.36317,             0.20241,            0.090351,             0.22809,            0.029149,           0.0095916,           0.0095916,           0.0095916
                  43,            0.092371,             0.15918,             0.02356,             0.46664,             0.36974,              0.3646,             0.20265,            0.090135,             0.22816,             0.02907,           0.0095717,           0.0095717,           0.0095717
                  44,            0.092178,             0.15869,            0.023444,             0.48552,             0.36514,             0.36809,             0.20671,            0.090225,             0.22804,            0.029041,           0.0095514,           0.0095514,           0.0095514
                  45,            0.092271,             0.15897,             0.02325,             0.48778,              0.3596,              0.3675,             0.20457,            0.090188,             0.22804,            0.028981,           0.0095307,           0.0095307,           0.0095307
                  46,            0.092506,             0.15979,            0.023273,             0.45919,             0.38262,             0.36764,             0.20507,            0.090204,             0.22829,            0.029122,           0.0095095,           0.0095095,           0.0095095
                  47,            0.091809,             0.15821,            0.023016,              0.4801,             0.37022,               0.368,             0.20706,            0.090174,             0.22653,            0.029068,           0.0094879,           0.0094879,           0.0094879
                  48,            0.092047,             0.15897,            0.022977,             0.47727,             0.37602,             0.37248,             0.20945,            0.090047,              0.2269,            0.028871,           0.0094659,           0.0094659,           0.0094659
                  49,            0.091436,             0.15698,            0.023094,             0.48105,             0.37701,              0.3729,             0.20864,            0.090074,             0.22792,            0.028839,           0.0094434,           0.0094434,           0.0094434
                  50,             0.09166,             0.15743,            0.023156,             0.46601,             0.37914,             0.37067,             0.20748,            0.090001,             0.22847,            0.028819,           0.0094205,           0.0094205,           0.0094205
                  51,            0.092164,             0.15899,            0.022983,             0.44818,              0.3885,             0.37291,             0.20906,            0.089959,             0.22789,            0.028845,           0.0093971,           0.0093971,           0.0093971
                  52,            0.091857,             0.15704,             0.02287,             0.50008,             0.36063,             0.37059,             0.20808,            0.089974,             0.22806,            0.028708,           0.0093733,           0.0093733,           0.0093733
                  53,            0.091751,             0.15658,            0.022875,             0.48739,             0.37416,             0.37259,             0.20939,            0.089942,             0.22802,            0.029006,           0.0093491,           0.0093491,           0.0093491
                  54,            0.091861,             0.15685,            0.022953,             0.47799,             0.37768,             0.37285,             0.21015,            0.089916,             0.22737,            0.028743,           0.0093245,           0.0093245,           0.0093245
                  55,             0.09165,              0.1572,              0.0229,             0.48614,             0.37259,             0.37575,             0.21148,            0.089768,             0.22715,            0.028595,           0.0092995,           0.0092995,           0.0092995
                  56,            0.091519,             0.15673,            0.022629,             0.49144,             0.37099,             0.37319,              0.2089,            0.089774,               0.228,             0.02869,            0.009274,            0.009274,            0.009274
                  57,            0.091524,             0.15552,            0.022631,             0.48707,             0.37573,              0.3745,             0.21077,            0.089786,             0.22785,            0.028763,           0.0092481,           0.0092481,           0.0092481
                  58,            0.091595,             0.15687,            0.022508,             0.47971,             0.37775,             0.37429,             0.21066,            0.089694,             0.22734,            0.028736,           0.0092219,           0.0092219,           0.0092219
                  59,            0.091602,             0.15777,             0.02265,             0.49028,             0.37099,             0.37278,             0.21054,            0.089758,             0.22807,            0.028743,           0.0091952,           0.0091952,           0.0091952
                  60,            0.091847,             0.15696,            0.022629,             0.50466,             0.37316,             0.37891,             0.21337,             0.08964,             0.22727,            0.028697,           0.0091681,           0.0091681,           0.0091681
                  61,            0.091116,             0.15749,            0.022601,              0.4829,             0.37539,             0.37695,             0.21282,            0.089651,             0.22792,            0.028649,           0.0091406,           0.0091406,           0.0091406
                  62,             0.09175,             0.15499,            0.022483,              0.5005,             0.36927,             0.37717,             0.21325,            0.089566,             0.22848,            0.028686,           0.0091127,           0.0091127,           0.0091127
                  63,            0.091551,              0.1562,            0.022459,             0.50041,             0.37458,             0.37775,             0.21287,            0.089573,             0.22804,            0.028666,           0.0090844,           0.0090844,           0.0090844
                  64,            0.091082,             0.15521,            0.022302,             0.48074,             0.38507,             0.38019,             0.21378,            0.089581,             0.22755,            0.028664,           0.0090557,           0.0090557,           0.0090557
                  65,            0.091114,             0.15583,            0.022281,             0.48853,             0.38576,              0.3828,             0.21612,            0.089574,             0.22761,            0.028653,           0.0090266,           0.0090266,           0.0090266
                  66,            0.091455,             0.15732,            0.022418,             0.51852,             0.37142,             0.38293,             0.21718,            0.089563,             0.22795,            0.028683,           0.0089972,           0.0089972,           0.0089972
                  67,             0.09151,             0.15628,            0.022296,             0.51905,             0.36846,             0.38112,             0.21679,             0.08957,             0.22783,              0.0287,           0.0089673,           0.0089673,           0.0089673
                  68,            0.091226,             0.15527,            0.022078,             0.51503,              0.3705,             0.38059,             0.21569,             0.08958,             0.22826,            0.028623,           0.0089371,           0.0089371,           0.0089371
                  69,            0.090856,             0.15456,            0.022184,             0.50053,             0.37848,             0.38063,             0.21552,            0.089534,             0.22854,            0.028758,           0.0089065,           0.0089065,           0.0089065
                  70,            0.091088,             0.15611,            0.021907,             0.50661,              0.3766,             0.38061,             0.21681,            0.089513,             0.22867,            0.028654,           0.0088755,           0.0088755,           0.0088755
                  71,            0.091002,             0.15412,            0.021871,             0.48957,             0.38435,             0.38253,             0.21844,            0.089466,             0.22771,            0.028607,           0.0088442,           0.0088442,           0.0088442
                  72,             0.09124,             0.15554,            0.022245,             0.49894,             0.37885,             0.38324,             0.21711,            0.089443,             0.22823,            0.028555,           0.0088124,           0.0088124,           0.0088124
                  73,            0.090963,             0.15554,            0.022039,              0.5086,             0.37359,             0.38329,             0.21728,            0.089466,             0.22819,            0.028559,           0.0087804,           0.0087804,           0.0087804
                  74,            0.091096,             0.15703,            0.021922,             0.49059,             0.38289,             0.38215,              0.2166,            0.089383,             0.22796,            0.028469,           0.0087479,           0.0087479,           0.0087479
