               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.10189,             0.17448,            0.029886,             0.28776,             0.26882,             0.22146,             0.10634,            0.098771,             0.24193,            0.033818,           0.0097011,           0.0097011,           0.0097011
                  37,             0.10174,             0.17464,             0.02957,             0.32346,             0.25793,             0.22535,             0.10885,            0.098482,             0.24125,            0.033566,            0.009684,            0.009684,            0.009684
                  38,             0.10155,             0.17487,            0.029574,             0.34542,             0.24489,             0.22521,             0.10962,            0.098462,             0.23979,            0.033548,           0.0096664,           0.0096664,           0.0096664
                  39,             0.10183,             0.17707,            0.029675,              0.3248,             0.25637,             0.22629,             0.11084,            0.098529,             0.24003,            0.033427,           0.0096484,           0.0096484,           0.0096484
                  40,             0.10131,             0.17549,            0.029472,             0.33852,             0.24763,             0.22525,             0.10948,            0.098582,             0.23999,            0.033866,           0.0096299,           0.0096299,           0.0096299
                  41,             0.10163,             0.17746,            0.029485,             0.32173,             0.26044,             0.22887,             0.11151,            0.098262,             0.23966,             0.03327,            0.009611,            0.009611,            0.009611
                  42,             0.10158,             0.17709,            0.029463,              0.3324,             0.25805,             0.22879,             0.11142,            0.098179,             0.24019,            0.033347,           0.0095916,           0.0095916,           0.0095916
                  43,             0.10168,             0.17455,            0.029643,             0.28344,             0.28024,             0.22887,              0.1109,             0.09826,             0.23959,             0.03331,           0.0095717,           0.0095717,           0.0095717
                  44,             0.10158,             0.17552,            0.029369,             0.35385,             0.24871,             0.23033,             0.11324,            0.098186,             0.23917,             0.03325,           0.0095514,           0.0095514,           0.0095514
                  45,             0.10153,             0.17456,            0.029262,             0.31359,             0.27436,             0.23271,              0.1138,            0.098197,             0.24061,            0.033256,           0.0095307,           0.0095307,           0.0095307
                  46,             0.10145,              0.1752,             0.02916,             0.31037,             0.27071,             0.23078,             0.11333,             0.09815,              0.2391,            0.033119,           0.0095095,           0.0095095,           0.0095095
                  47,             0.10079,              0.1742,            0.029151,               0.339,             0.26284,              0.2361,             0.11502,             0.09803,             0.23906,            0.033086,           0.0094879,           0.0094879,           0.0094879
                  48,             0.10135,             0.17561,            0.029135,             0.34638,             0.25532,             0.23551,             0.11445,            0.097911,             0.23899,            0.033006,           0.0094659,           0.0094659,           0.0094659
                  49,             0.10126,             0.17638,            0.029114,             0.32416,             0.27427,             0.23735,             0.11572,            0.097908,             0.23927,             0.03301,           0.0094434,           0.0094434,           0.0094434
                  50,             0.10133,             0.17489,            0.028972,              0.3569,             0.26097,             0.23755,             0.11686,            0.097875,             0.23951,            0.033128,           0.0094205,           0.0094205,           0.0094205
                  51,             0.10097,             0.17388,            0.029312,             0.34553,             0.26023,             0.23799,             0.11722,            0.097823,             0.23893,             0.03297,           0.0093971,           0.0093971,           0.0093971
